iter	MultiClass
0	1.00162264
1	0.9112237907
2	0.8345571092
3	0.770069084
4	0.7139230533
5	0.6521016404
6	0.6077865241
7	0.569280109
8	0.5258272033
9	0.4875540477
10	0.458677253
11	0.4321952693
12	0.4063394862
13	0.3817878606
14	0.356960366
15	0.3356357358
16	0.3137352151
17	0.2946633087
18	0.2767984951
19	0.2631094014
20	0.247738294
21	0.2328174606
22	0.2197884386
23	0.2075172361
24	0.1970070631
25	0.1863432476
26	0.174878291
27	0.1666175782
28	0.1586841964
29	0.1512520855
30	0.1441377268
31	0.1373303451
32	0.1315656484
33	0.1251368575
34	0.1197240778
35	0.1144329734
36	0.1089306801
37	0.1042864585
38	0.09995368789
39	0.09615720853
40	0.09347694007
41	0.08958796036
42	0.08560810628
43	0.08183553678
44	0.07824891487
45	0.07598929317
46	0.0732683272
47	0.07095944947
48	0.06869926261
49	0.066305548
50	0.06342425906
51	0.06164471932
52	0.0591628865
53	0.05650590859
54	0.05425147326
55	0.05228815945
56	0.0502814747
57	0.04878349209
58	0.04755398707
59	0.04621728971
60	0.0447336958
61	0.04377462959
62	0.04261197048
63	0.04169624409
64	0.04088191792
65	0.03982542701
66	0.03867134914
67	0.03725286525
68	0.03602729448
69	0.03513714243
70	0.03394517715
71	0.03282350641
72	0.03172183168
73	0.03088513986
74	0.03009864078
75	0.0294407187
76	0.02888452575
77	0.02811103861
78	0.02734095491
79	0.02679310944
80	0.02637392148
81	0.02566289231
82	0.02500541025
83	0.02464104942
84	0.02388053466
85	0.02326686614
86	0.02281880217
87	0.0221255652
88	0.0215316326
89	0.02092762305
90	0.02027970944
91	0.01983556617
92	0.01942521135
93	0.01901013525
94	0.01869074009
95	0.01826691133
96	0.01787499453
97	0.01744266626
98	0.01712075403
99	0.01669988833
100	0.01628665605
101	0.01591191413
102	0.01554942343
103	0.0152374172
104	0.01483678566
105	0.01451496193
106	0.01417970929
107	0.013921458
108	0.01360734833
109	0.01332986735
110	0.01307434571
111	0.01281958184
112	0.012631541
113	0.01246335896
114	0.0122212593
115	0.01199193601
116	0.01173756252
117	0.01152032229
118	0.01131254079
119	0.01110723114
120	0.01089331186
121	0.01064298502
122	0.01046125271
123	0.010246368
124	0.01011470223
125	0.009954133617
126	0.009796193294
127	0.009641103229
128	0.009488731921
129	0.009339113643
130	0.009145254658
131	0.008992106196
132	0.008834617662
133	0.008696282231
134	0.008578252281
135	0.00846038933
136	0.008388006476
137	0.008271968494
138	0.008146592902
139	0.008038819374
140	0.007930544122
141	0.007833626852
142	0.007719172442
143	0.007618885788
144	0.007529438649
145	0.007429740171
146	0.007337262818
147	0.007220116096
148	0.007129165689
149	0.007044795349
150	0.006960318812
151	0.006856782785
152	0.006754679203
153	0.006673495443
154	0.006598273228
155	0.006523729126
156	0.006452898324
157	0.006384324955
